YEAR,REGION,AREA,SOURCE_LOAN,PURPOSE_BORROW,VALUE,UNIT,SOURCE
2554,ทั่วราชอาณาจักร,รวม,รวม,รวม,134900,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,45898,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,รวม,ใช้ในการศึกษา,2726,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",50964,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,รวม,ใช้ในการทำธุรกิจ,13912,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,รวม,ใช้ในการทำการเกษตร,19392,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,รวม,อื่นๆ,2008,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"หนี้ในระบบ ",รวม,130930,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"หนี้ในระบบ ",ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,45111,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"หนี้ในระบบ ",ใช้ในการศึกษา,2661,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"หนี้ในระบบ ","ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",49356,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"หนี้ในระบบ ",ใช้ในการทำธุรกิจ,13157,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"หนี้ในระบบ ",ใช้ในการทำการเกษตร,18867,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,"หนี้ในระบบ ",อื่นๆ,1778,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,รวม,3970,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,787,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ในการศึกษา,65,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",1608,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,755,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ในการทำการเกษตร,525,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,อื่นๆ,230,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,รวม,187586,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,88115,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,ใช้ในการศึกษา,4408,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,"ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน",66539,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,ใช้ในการทำธุรกิจ,20441,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,ใช้ในการทำการเกษตร,5571,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,อื่นๆ,2511,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,ในเขตเทศบาล,"หนี้ในระบบ ",รวม,182323,บาท,สำนักงานสถิติแห่งชาติ
